id_venda,id_cliente,id_produto,quantidade,data_venda
225,437,19,3,2013-01-21
226,195,38,3,2013-01-20
227,250,40,5,2013-01-23
228,324,2,3,2013-01-03
229,47,444,4,2013-01-05
230,361,444,1,2013-01-03
231,463,23,1,2013-01-20
232,151,32,3,2013-01-17
233,272,3,4,2013-01-06
234,88,32,2,2013-01-13
235,318,39,2,2013-01-10
236,119,13,4,2013-01-10
237,239,41,3,2013-01-27
238,227,3,3,2013-01-22
239,328,123,4,2013-01-07
240,437,50,4,2013-01-21
241,359,6,3,2013-01-09
242,203,35,3,2013-01-14
243,399,38,1,2013-01-23
244,427,28,3,2013-01-13
245,411,5,3,2013-01-04
246,393,29,2,2013-01-22
247,331,42,1,2013-01-27
248,297,8,3,2013-01-05
249,152,2,3,2013-01-03
250,498,10,3,2013-01-27
251,426,43,2,2013-01-01
252,247,35,3,2013-01-05
253,73,47,2,2013-01-12
254,204,26,5,2013-01-09
255,8,32,3,2013-01-20
256,300,21,4,2013-01-24
257,56,45,2,2013-01-24
258,483,16,5,2013-01-11
259,332,15,1,2013-01-20
260,60,19,2,2013-01-03
261,253,1,1,2013-01-08
262,70,40,4,2013-01-19
263,381,21,5,2013-01-01
264,80,27,4,2013-01-19
265,316,36,4,2013-01-13
266,354,6,3,2013-01-23
267,279,123,3,2013-01-14
268,496,5,1,2013-01-21
269,47,35,2,2013-01-27
270,125,31,2,2013-01-24
271,301,10,2,2013-01-08
272,397,5,2,2013-01-10
273,67,49,5,2013-01-15
274,8,1,3,2013-01-11
275,166,5,1,2013-01-03
276,380,1,4,2013-01-29
277,244,28,4,2013-01-27
278,56,10,4,2013-01-03
279,23,46,5,2013-01-16
280,16,18,1,2013-01-03
281,219,123,1,2013-01-03
282,38,42,1,2013-01-29
283,65,3,3,2013-01-24
284,365,13,3,2013-01-25
285,221,10,1,2013-01-26
286,336,3,5,2013-01-08
287,174,5,4,2013-01-03
288,161,26,4,2013-01-25
289,489,5,2,2013-01-04
290,222,2,1,2013-01-10
291,490,2,5,2013-01-04
292,211,21,3,2013-01-29
293,217,45,1,2013-01-04
294,160,444,3,2013-01-12
295,80,10,4,2013-01-20
296,433,2,5,2013-01-06
297,294,29,2,2013-01-28
298,499,37,5,2013-01-12
299,14,18,5,2013-01-29
300,137,35,1,2013-01-29
301,159,24,3,2013-01-02
302,36,20,2,2013-01-04
303,47,48,5,2013-01-21
304,175,8,2,2013-01-29
305,398,25,5,2013-01-28
306,80,40,2,2013-01-26
307,42,1,3,2013-01-16
308,311,8,4,2013-01-13
309,304,22,4,2013-01-10
310,113,6,4,2013-01-16
311,4,80,2,2013-01-12
312,168,5,1,2013-01-13
313,90,28,2,2013-01-20
314,257,24,5,2013-01-07
315,37,33,4,2013-01-15
316,10,1,4,2013-01-23
317,295,38,4,2013-01-16
318,214,24,3,2013-01-04
319,167,1,2,2013-01-01
320,426,16,3,2013-01-23
321,125,37,4,2013-01-28
322,203,10,3,2013-01-05
323,325,2,1,2013-01-04
324,418,444,2,2013-01-27
325,102,3,2,2013-01-11
326,336,29,1,2013-01-25
327,253,30,4,2013-01-13
328,230,29,5,2013-01-07
329,166,49,3,2013-01-17
330,227,2,3,2013-01-04
331,237,2,4,2013-01-12
332,438,19,1,2013-01-18
333,237,10,5,2013-01-14
334,459,32,1,2013-01-08
335,334,33,2,2013-01-22
336,53,2,3,2013-01-27
337,259,80,2,2013-01-15
338,225,24,5,2013-01-30
339,191,3,3,2013-01-26
340,348,30,5,2013-01-01
341,172,17,1,2013-01-27
342,198,11,3,2013-01-15
343,494,37,5,2013-01-06
344,180,3,3,2013-01-07
345,340,444,4,2013-01-13
346,44,24,3,2013-01-06
347,169,18,2,2013-01-06
348,379,35,5,2013-01-27
349,261,21,3,2013-01-08
350,487,6,2,2013-01-14
351,99,29,2,2013-01-14
352,40,80,3,2013-01-30
353,395,2,5,2013-01-11
354,20,40,3,2013-01-17
355,306,16,4,2013-01-10
356,463,17,2,2013-01-13
357,187,1,2,2013-01-25
358,146,444,4,2013-01-24
359,495,5,4,2013-01-13
360,226,12,4,2013-01-03
361,258,31,5,2013-01-05
362,103,3,5,2013-01-21
363,329,5,4,2013-01-14
364,53,10,5,2013-01-03
365,391,6,2,2013-01-01
366,76,42,4,2013-01-17
367,419,42,4,2013-01-07
368,213,44,1,2013-01-13
369,115,2,1,2013-01-08
370,366,2,3,2013-01-22
371,147,3,4,2013-01-27
372,362,3,4,2013-01-21
373,41,1,1,2013-01-28
374,281,36,5,2013-01-01
375,148,3,2,2013-01-06
376,215,1,5,2013-01-04
377,464,2,4,2013-01-08
378,264,1,5,2013-01-27
379,220,3,1,2013-01-02
380,214,5,2,2013-01-18
381,500,2,3,2013-01-29
382,260,10,5,2013-01-27
383,241,8,1,2013-01-08
384,130,49,1,2013-01-21
385,124,2,1,2013-01-07
386,171,27,2,2013-01-03
387,417,10,2,2013-01-15
388,357,22,4,2013-01-18
389,235,30,1,2013-01-02
390,103,1,1,2013-01-18
391,204,6,5,2013-01-11
392,332,1,2,2013-01-13
393,25,38,3,2013-01-05
394,224,32,4,2013-01-18
395,198,41,3,2013-01-28
396,355,123,4,2013-01-20
397,137,32,1,2013-01-08
398,309,2,2,2013-01-12
399,41,6,3,2013-01-08
400,309,6,4,2013-01-09
401,229,8,1,2013-01-21
402,315,43,4,2013-01-02
403,486,49,1,2013-01-09
404,187,18,5,2013-01-17
405,488,22,1,2013-01-20
406,401,15,4,2013-01-13
407,399,2,3,2013-01-13
408,17,46,5,2013-01-08
409,40,8,5,2013-01-06
410,492,6,1,2013-01-19
411,61,43,3,2013-01-02
412,110,24,5,2013-01-23
413,252,43,2,2013-01-11
414,232,37,2,2013-01-10
415,433,22,3,2013-01-23
416,282,24,5,2013-01-17
417,81,6,2,2013-01-15
418,63,10,2,2013-01-12
419,253,5,1,2013-01-11
420,240,12,5,2013-01-02
421,34,40,3,2013-01-10
422,246,25,5,2013-01-20
423,295,8,1,2013-01-16
424,38,6,4,2013-01-14
425,66,10,5,2013-01-04
426,258,123,1,2013-01-14
427,156,10,2,2013-01-18
428,116,45,3,2013-01-25
429,146,10,1,2013-01-20
430,283,18,3,2013-01-27
431,274,6,1,2013-01-17
432,338,3,5,2013-01-02
433,432,15,5,2013-01-06
434,42,38,1,2013-01-13
435,136,30,2,2013-01-09
436,328,8,1,2013-01-29
437,149,17,3,2013-01-13
438,351,33,4,2013-01-02
439,31,2,2,2013-01-06
440,161,15,3,2013-01-29
441,500,38,4,2013-01-22
442,239,6,1,2013-01-17
443,50,5,1,2013-01-16
444,444,5,2,2013-01-22
445,370,45,3,2013-01-30
446,264,3,4,2013-01-25
447,12,6,1,2013-01-06
448,495,10,2,2013-01-19
449,241,19,3,2013-01-28
450,221,37,2,2013-01-10
451,392,26,4,2013-01-13
452,292,8,5,2013-01-03
453,38,10,4,2013-01-22
454,144,29,5,2013-01-01
455,500,3,1,2013-01-26
456,174,32,5,2013-01-27
457,102,28,5,2013-01-10
458,24,10,1,2013-01-18
459,243,6,5,2013-01-21
460,264,15,2,2013-01-04
461,84,16,4,2013-01-17
462,432,444,3,2013-01-16
463,261,10,5,2013-01-07
464,244,11,1,2013-01-15
465,214,21,5,2013-01-25
466,447,41,1,2013-01-16
467,336,5,5,2013-01-20
468,299,25,4,2013-01-16
469,318,17,4,2013-01-20
470,17,22,5,2013-01-15
471,10,2,4,2013-01-27
472,354,3,2,2013-01-07
473,472,30,4,2013-01-10
474,32,27,2,2013-01-21
475,340,11,4,2013-01-19
476,89,6,4,2013-01-09
477,370,30,3,2013-01-30
478,116,11,3,2013-01-28
479,354,24,4,2013-01-15
480,141,32,3,2013-01-20
481,195,21,4,2013-01-27
482,412,46,2,2013-01-01
483,366,6,1,2013-01-15
484,132,8,4,2013-01-14
485,139,35,5,2013-01-11
486,316,3,5,2013-01-21
487,464,1,5,2013-01-29
488,52,5,4,2013-01-30
489,494,3,5,2013-01-16
490,209,80,4,2013-01-23
491,147,123,1,2013-01-22
492,294,2,2,2013-01-22
493,480,26,1,2013-01-11
494,204,50,4,2013-01-25
495,447,28,3,2013-01-23
496,291,1,5,2013-01-09
497,146,49,4,2013-01-05
498,269,444,4,2013-01-14
499,259,3,4,2013-01-26
500,170,33,2,2013-01-17
501,368,19,2,2013-01-05
502,99,21,2,2013-01-12
503,208,18,4,2013-01-16
504,343,2,1,2013-01-11
505,166,3,2,2013-01-10
506,169,5,3,2013-01-08
507,134,12,3,2013-01-02
508,61,2,4,2013-01-03
509,258,8,3,2013-01-12
510,482,18,3,2013-01-24
511,79,123,4,2013-01-30
512,213,15,5,2013-01-04
513,411,29,2,2013-01-23
514,306,22,1,2013-01-21
515,186,10,1,2013-01-28
516,425,3,5,2013-01-10
517,438,3,5,2013-01-19
518,368,22,5,2013-01-24
519,229,41,1,2013-01-20
520,234,10,5,2013-01-12
521,203,26,3,2013-01-08
522,297,28,1,2013-01-01
523,479,50,1,2013-01-06
524,17,123,3,2013-01-21
525,393,30,4,2013-01-11
526,230,41,4,2013-01-09
527,339,22,5,2013-01-26
528,61,38,2,2013-01-23
529,271,123,2,2013-01-03
530,2,5,1,2013-01-28
531,345,123,5,2013-01-13
532,17,29,4,2013-01-06
533,456,45,1,2013-01-23
534,305,2,1,2013-01-07
535,447,21,1,2013-01-23
536,225,1,2,2013-01-26
537,398,28,1,2013-01-28
538,120,50,5,2013-01-29
539,155,6,2,2013-01-16
540,114,444,4,2013-01-22
541,486,2,5,2013-01-30
542,321,43,4,2013-01-25
543,177,1,4,2013-01-21
544,214,6,4,2013-01-27
545,363,6,2,2013-01-22
546,288,43,4,2013-01-08
547,272,444,2,2013-01-24
548,170,5,1,2013-01-22
549,48,37,5,2013-01-13
550,309,21,1,2013-01-13
551,287,26,2,2013-01-14
552,171,39,3,2013-01-26
553,109,80,2,2013-01-24
554,383,80,4,2013-01-12
555,361,23,2,2013-01-14
556,165,5,3,2013-01-22
557,184,10,3,2013-01-04
558,255,10,4,2013-01-14
559,241,49,3,2013-01-12
560,114,11,2,2013-01-14
561,300,10,5,2013-01-17
562,101,6,3,2013-01-16
563,126,12,4,2013-01-27
564,173,45,3,2013-01-04
565,236,27,2,2013-01-07
566,95,10,5,2013-01-08
567,269,80,1,2013-01-12
568,419,2,1,2013-01-19
569,432,8,2,2013-01-08
570,112,3,5,2013-01-11
571,327,2,5,2013-01-04
572,9,20,1,2013-01-21
573,9,8,5,2013-01-20
574,147,10,1,2013-01-17
575,221,23,2,2013-01-27
576,77,2,2,2013-01-23
577,418,10,3,2013-01-21
578,192,8,4,2013-01-04
579,357,5,2,2013-01-11
580,42,35,1,2013-01-21
581,5,2,2,2013-01-19
582,331,37,3,2013-01-29
583,49,38,5,2013-01-01
584,462,5,5,2013-01-28
585,39,1,3,2013-01-19
586,17,11,2,2013-01-24
587,493,6,2,2013-01-01
588,365,28,4,2013-01-18
589,289,6,2,2013-01-15
590,347,37,5,2013-01-19
591,72,29,1,2013-01-21
592,28,48,1,2013-01-27
593,175,36,5,2013-01-27
594,204,46,3,2013-01-30
595,231,5,4,2013-01-11
596,193,10,4,2013-01-24
597,195,13,1,2013-01-11
598,127,6,1,2013-01-14
599,365,3,2,2013-01-22
600,55,6,1,2013-01-24
601,185,6,3,2013-01-02
602,221,2,4,2013-01-19
603,53,10,1,2013-01-17
604,306,10,5,2013-01-20
605,7,38,3,2013-01-09
606,372,31,5,2013-01-23
607,293,49,5,2013-01-07
608,253,6,2,2013-01-26
609,216,8,3,2013-01-02
610,129,2,2,2013-01-20
611,203,1,3,2013-01-29
612,221,8,5,2013-01-28
613,486,6,2,2013-01-02
614,377,6,4,2013-01-05
615,167,80,4,2013-01-21
616,187,31,1,2013-01-07
617,350,80,5,2013-01-23
618,483,26,2,2013-01-09
619,355,6,1,2013-01-03
620,210,32,4,2013-01-13
621,130,6,2,2013-01-19
622,38,32,4,2013-01-16
623,299,123,4,2013-01-11
624,446,44,4,2013-01-23
625,185,32,5,2013-01-16
626,56,43,2,2013-01-17
627,331,1,4,2013-01-19
628,495,123,4,2013-01-14
629,114,2,5,2013-01-21
630,353,11,5,2013-01-13
631,354,22,5,2013-01-04
632,248,50,1,2013-01-23
633,44,43,1,2013-01-01
634,179,26,3,2013-01-27
635,267,31,4,2013-01-03
636,370,2,4,2013-01-17
637,415,6,1,2013-01-11
638,477,33,2,2013-01-04
639,170,10,5,2013-01-02
640,96,17,4,2013-01-02
641,453,27,2,2013-01-13
642,3,8,2,2013-01-10
643,415,28,1,2013-01-01
644,275,32,2,2013-01-08
645,251,21,5,2013-01-12
646,306,123,4,2013-01-07
647,179,13,3,2013-01-23
648,417,16,3,2013-01-06
649,123,6,3,2013-01-28
650,217,12,2,2013-01-11
651,471,10,2,2013-01-23
652,231,6,5,2013-01-13
653,418,3,4,2013-01-18
654,335,444,4,2013-01-09
655,86,8,1,2013-01-30
656,113,32,3,2013-01-30
657,148,5,2,2013-01-06
658,396,11,4,2013-01-08
659,59,3,3,2013-01-16
660,188,35,5,2013-01-06
661,369,1,4,2013-01-29
662,53,50,2,2013-01-02
663,231,50,3,2013-01-16
664,398,50,2,2013-01-28
665,353,27,3,2013-01-19
666,220,15,2,2013-01-20
667,417,31,2,2013-01-10
668,273,12,3,2013-01-04
669,149,123,5,2013-01-29
670,461,38,1,2013-01-12
671,211,28,1,2013-01-05
672,65,444,2,2013-01-15
673,425,25,2,2013-01-30
674,251,21,2,2013-01-06
675,213,5,4,2013-01-28
676,451,18,1,2013-01-02
677,356,28,3,2013-01-17
678,434,39,1,2013-01-26
679,112,10,4,2013-01-21
680,281,6,5,2013-01-18
681,404,37,3,2013-01-04
682,24,29,1,2013-01-25
683,9,36,1,2013-01-17
684,234,3,1,2013-01-01
685,104,123,2,2013-01-21
686,448,6,3,2013-01-24
687,333,20,2,2013-01-06
688,372,17,2,2013-01-22
689,49,2,1,2013-01-18
690,304,2,2,2013-01-23
691,356,38,2,2013-01-08
692,46,5,1,2013-01-22
693,329,39,2,2013-01-09
694,313,11,2,2013-01-26
695,322,26,2,2013-01-14
696,227,16,2,2013-01-30
697,386,2,1,2013-01-27
698,406,123,2,2013-01-24
699,128,19,5,2013-01-23
700,146,25,1,2013-01-22
701,155,20,2,2013-01-29
702,383,10,4,2013-01-14
703,460,1,2,2013-01-16
704,256,3,5,2013-01-12
705,7,40,3,2013-01-05
706,441,3,5,2013-01-14
707,89,10,4,2013-01-22
708,9,80,5,2013-01-12
709,21,5,1,2013-01-23
710,147,8,5,2013-01-28
711,206,8,1,2013-01-30
712,79,10,3,2013-01-19
713,472,2,2,2013-01-17
714,275,80,3,2013-01-02
715,428,18,1,2013-01-24
716,489,8,2,2013-01-16
717,223,2,1,2013-01-09
718,159,15,2,2013-01-24
719,360,24,1,2013-01-11
720,268,46,5,2013-01-18
721,86,25,3,2013-01-13
722,138,31,1,2013-01-17
723,414,1,4,2013-01-14
724,365,2,5,2013-01-29
725,440,1,5,2013-01-14
726,396,3,1,2013-01-27
727,60,21,2,2013-01-01
728,440,1,1,2013-01-26
729,477,3,1,2013-01-10
730,380,43,4,2013-01-05
731,469,5,3,2013-01-12
732,191,2,1,2013-01-20
733,92,42,2,2013-01-24
734,489,49,4,2013-01-27
735,168,37,1,2013-01-12
736,103,1,3,2013-01-24
737,319,6,2,2013-01-24
738,101,30,5,2013-01-22
739,4,5,4,2013-01-01
740,326,10,1,2013-01-05
741,389,80,4,2013-01-15
742,54,26,2,2013-01-11
743,252,5,1,2013-01-20
744,365,80,3,2013-01-12
745,460,43,5,2013-01-15
746,235,41,1,2013-01-29
747,327,10,4,2013-01-18
748,223,12,2,2013-01-23
749,162,5,4,2013-01-27
750,163,27,4,2013-01-26
751,104,2,2,2013-01-17
752,80,13,1,2013-01-21
753,494,10,2,2013-01-27
754,414,2,3,2013-01-17
755,21,23,2,2013-01-18
756,47,6,2,2013-01-23
757,263,123,1,2013-01-14
758,90,5,1,2013-01-15
759,285,123,5,2013-01-13
760,7,3,1,2013-01-12
761,67,49,2,2013-01-06
762,299,19,5,2013-01-10
763,463,2,4,2013-01-16
764,434,2,3,2013-01-06
765,26,45,2,2013-01-27
766,371,8,4,2013-01-09
767,229,5,2,2013-01-10
768,126,16,3,2013-01-11
769,246,40,1,2013-01-24
770,409,18,5,2013-01-14
771,279,50,1,2013-01-29
772,184,444,4,2013-01-26
773,199,10,3,2013-01-29
774,113,6,1,2013-01-14
775,30,31,4,2013-01-05
776,120,30,2,2013-01-10
777,137,20,5,2013-01-15
778,29,43,2,2013-01-12
779,199,49,3,2013-01-18
780,89,50,2,2013-01-09
781,378,6,3,2013-01-15
782,359,1,3,2013-01-01
783,289,11,2,2013-01-26
784,497,33,4,2013-01-07
785,309,2,2,2013-01-14
786,413,16,2,2013-01-03
787,31,39,1,2013-01-03
788,73,24,1,2013-01-27
789,492,38,1,2013-01-15
790,203,45,5,2013-01-07
791,70,6,2,2013-01-24
792,328,8,4,2013-01-05
793,456,444,5,2013-01-01
794,302,5,2,2013-01-28
795,151,27,2,2013-01-14
796,360,1,5,2013-01-23
797,495,50,5,2013-01-24
798,472,15,5,2013-01-22
799,480,11,4,2013-01-17
800,122,28,3,2013-01-09
801,326,80,1,2013-01-03
802,374,21,3,2013-01-13
803,128,5,1,2013-01-24
804,369,31,1,2013-01-06
805,215,8,2,2013-01-04
806,52,10,4,2013-01-20
807,389,13,2,2013-01-24
808,434,2,1,2013-01-04
809,488,6,1,2013-01-29
810,281,26,1,2013-01-03
811,458,49,4,2013-01-08
812,335,8,2,2013-01-08
813,28,8,1,2013-01-28
814,210,48,5,2013-01-15
815,136,26,3,2013-01-05
816,202,2,5,2013-01-13
817,45,1,3,2013-01-06
818,246,17,2,2013-01-28
819,243,48,1,2013-01-21
820,251,8,3,2013-01-30
821,95,10,3,2013-01-29
822,239,5,3,2013-01-11
823,32,5,2,2013-01-26
824,44,21,3,2013-01-19
825,388,8,5,2013-01-22
826,199,2,5,2013-01-22
827,444,10,4,2013-01-15
828,154,5,1,2013-01-29
829,18,37,5,2013-01-21
830,293,10,5,2013-01-15
831,230,46,2,2013-01-28
832,350,2,4,2013-01-03
833,76,35,5,2013-01-30
834,469,42,1,2013-01-05
835,283,11,3,2013-01-11
836,470,10,1,2013-01-11
837,268,17,4,2013-01-13
838,291,3,5,2013-01-04
839,52,47,1,2013-01-08
840,147,2,5,2013-01-12
841,136,40,4,2013-01-09
842,243,12,1,2013-01-27
843,317,8,5,2013-01-04
844,203,8,3,2013-01-08
845,244,1,3,2013-01-01
846,419,1,3,2013-01-20
847,440,36,1,2013-01-22
848,69,80,3,2013-01-29
849,397,123,3,2013-01-23
850,331,8,1,2013-01-15
851,389,27,5,2013-01-02
852,160,3,5,2013-01-12
853,269,31,5,2013-01-14
854,128,36,1,2013-01-14
855,361,43,2,2013-01-23
856,259,35,4,2013-01-04
857,16,3,2,2013-01-12
858,301,39,5,2013-01-13
859,458,3,3,2013-01-29
860,146,22,1,2013-01-10
861,293,3,2,2013-01-21
862,347,19,2,2013-01-06
863,11,8,1,2013-01-27
864,89,3,5,2013-01-11
865,312,5,3,2013-01-08
866,141,24,4,2013-01-13
867,236,37,3,2013-01-07
868,267,6,5,2013-01-04
869,262,2,3,2013-01-03
870,247,22,1,2013-01-09
871,167,5,3,2013-01-15
872,457,24,3,2013-01-29
873,124,10,1,2013-01-28
874,308,33,4,2013-01-15
875,370,22,1,2013-01-22
876,133,50,4,2013-01-07
877,299,27,5,2013-01-23
878,327,22,4,2013-01-15
879,260,21,3,2013-01-20
880,449,36,5,2013-01-14
881,66,2,3,2013-01-25
882,468,11,2,2013-01-27
883,336,41,1,2013-01-24
884,447,5,3,2013-01-22
885,191,40,3,2013-01-04
886,325,1,5,2013-01-30
887,242,16,2,2013-01-02
888,196,39,5,2013-01-21
889,438,1,2,2013-01-16
890,465,12,4,2013-01-30
891,93,38,1,2013-01-13
892,91,17,3,2013-01-02
893,141,1,2,2013-01-05
894,315,2,4,2013-01-12
895,495,8,4,2013-01-28
896,103,1,3,2013-01-29
897,388,123,5,2013-01-02
898,321,21,2,2013-01-14
899,160,39,2,2013-01-28
900,157,10,2,2013-01-02
901,486,1,3,2013-01-09
902,269,10,3,2013-01-23
903,69,22,3,2013-01-26
904,184,123,2,2013-01-22
905,416,42,4,2013-01-14
906,68,5,2,2013-01-09
907,449,1,3,2013-01-29
908,305,17,1,2013-01-22
909,11,19,1,2013-01-24
910,195,8,1,2013-01-05
911,323,23,1,2013-01-23
912,340,20,5,2013-01-17
913,71,15,4,2013-01-20
914,369,2,5,2013-01-17
915,55,3,4,2013-01-16
916,104,10,3,2013-01-06
917,21,6,5,2013-01-08
918,2,6,1,2013-01-17
919,428,42,5,2013-01-20
920,47,3,5,2013-01-25
921,464,26,3,2013-01-14
922,238,123,1,2013-01-20
923,411,6,3,2013-01-27
924,436,3,1,2013-01-02
925,332,3,2,2013-01-23
926,490,41,5,2013-01-05
927,191,26,3,2013-01-16
928,493,8,4,2013-01-13
929,333,32,2,2013-01-16
